yudata total ssrdata
449	21	7	2	2
Da
Ning
Ding
Wan
VH
CP
NP
MH
ML
Tai
CS
TNP
KT
DAL
HB
Wu
CH
ST
SNP
CI
JA
Pop	Ind	SSR01(F38)	SSR02(F411)	SSR03(F398)	SSR04(F436)	SSR05(FH3)	SSR06(FH10)	SSR07(FH47)	
14	YL24	0707	2528	2549	2323	1019	2527	1313
15	YH1	0909	2834	2531	00	1010	2125	1313
15	YH2	0909	3440	2527	1919	1316	2527	1313
15	YH3	0909	2834	2333	2325	1016	2123	1313
15	YH4	0909	2834	2731	00	1010	2525	1313
15	YH5	0915	3434	2735	2323	1616	2525	1313
15	YH6	0909	2834	3537	2525	1019	2527	1313
15	YH7	00	2837	2325	2031	1016	2525	1313
15	YH8	00	2840	2531	2029	1019	2525	1013
15	YH9	00	3134	00	00	1013	1923	0407
15	YH10	00	2534	2535	2333	1010	2325	1313
15	YH11	00	3134	2531	2525	1019	2325	0713
15	YH12	00	3134	2531	2535	1019	2325	1313
15	YH13	00	3434	2525	2031	1019	2527	1313
15	YH14	00	2834	2537	3335	1010	2525	1313
15	YH15	00	2534	2529	2025	1019	2525	1013
15	YH16	00	2534	2527	2323	1016	2527	1313
15	YH17	00	3440	2333	2325	1010	2123	1316
15	YH18	00	3437	2931	2031	1625	2527	1313
15	YH19	00	3140	0101	2031	1010	2325	1313
15	YH20	00	3140	00	2331	1019	2525	1016
15	YH21	00	2831	00	1920	1010	2525	1013
15	YH22	00	2834	00	1920	1010	2525	1316
15	YH23	00	3140	3333	2325	1010	2525	1313
15	YH24	0917	2534	3537	1923	1019	2125	1313
16	T13-1	0913	3434	00	2029	1019	2325	1316
16	T13-2	0709	3137	00	1929	1019	2327	0710
16	T13-3	0919	3440	00	1923	1319	2527	1316
16	T13-4	1115	4040	3335	1920	0710	2325	1313
16	T13-5	0709	4040	00	2023	1919	2527	1013
16	T13-6	0709	3434	2527	2029	1019	2325	1316
16	T13-7	1315	3434	3335	2027	1619	2327	1013
16	T13-8	1115	3434	2533	2027	1019	2325	1013
16	T13-9	0709	3434	2325	2029	1919	2323	1016
16	T13-10	0709	1625	3335	1923	1019	2525	1013
16	T13-11	0709	3434	3539	2027	0719	2325	1013
16	T13-12	0909	2540	2535	2320	1619	2325	1016
16	T13-13	0913	3434	2529	1927	1016	2325	1313
16	T13-14	0709	3434	2327	3327	1619	2323	0716
16	T13-15	0911	2531	2535	2020	0410	2323	1619
16	T13-16	0913	3434	3335	1927	1619	2325	1313
16	T13-17	1113	2531	2933	2020	0410	2323	1313
16	T13-18	0909	3131	2537	2325	1019	2327	1313
16	T13-19	0311	3434	2327	2731	1619	2331	1316
16	T13-20	0911	3434	2323	1515	1016	2325	1316
16	T13-21	0309	3134	3541	1731	1619	2325	1316
16	T13-22	0913	3440	3335	2327	1019	2325	1316
16	T13-23	0925	3434	2529	2531	1619	2325	1013
16	T13-24	0919	2534	3737	2023	0419	2325	1313
17	T10-1	0927	2240	3135	1729	1619	2525	1013
17	T10-2	0709	4040	3335	1727	1619	2525	1313
17	T10-3	0925	1937	00	00	1019	1921	0713
17	T10-4	0709	3434	00	00	1919	1923	1013
17	T10-5	0911	2534	3335	2525	1919	2331	1313
17	T10-6	1113	2837	2733	1929	1919	2525	1010
17	T10-7	0709	1931	00	1919	1919	2525	1013
17	T10-8	0709	3434	3133	2020	1919	2525	1013
17	T10-9	0709	2525	3535	2329	1619	2525	1013
17	T10-10	0709	3434	00	1920	1619	2527	1013
17	T10-11	0913	3434	00	1717	1919	2525	1316
17	T10-12	0709	2828	00	1717	1919	2525	1313
17	T10-13	0709	3434	00	1727	1619	1325	1313
17	T10-14	0911	3434	00	1723	1619	1325	1313
17	T10-15	0911	2834	00	2727	0710	2525	1013
17	T10-16	0913	00	00	2020	1019	1321	1016
17	T10-17	0709	2222	00	1727	1019	1925	1316
17	T10-18	1115	3740	00	00	1925	2127	1013
17	T10-19	0909	2228	00	190	1919	1925	1016
17	T10-20	0709	3440	00	1727	1019	2527	1016
17	T10-21	0709	4646	00	2725	1919	2525	1316
17	T10-22	0911	3434	00	2727	1919	2525	1313
17	T10-23	0709	2531	00	1735	1919	2325	1313
17	T10-24	0913	2525	00	1729	1619	2525	1616
18	T7-1	4347	2525	2727	2025	1616	2323	1019
18	T7-2	3541	2225	2727	2029	1619	2325	1010
18	T7-3	0709	2540	2727	2527	1619	2327	1010
18	T7-4	4143	4040	2727	2525	1016	2323	1013
18	T7-5	4349	2540	2727	1515	1619	2325	1019
18	T7-6	2547	1937	2727	2337	1619	2323	1010
18	T7-7	0709	4040	2727	1517	1616	2323	1019
18	T7-8	0911	2240	2727	2729	1619	2325	1019
18	T7-9	2529	4040	00	1519	1016	2323	1019
18	T7-10	4143	1040	2727	1923	1619	2327	1919
18	T7-11	0709	3140	2727	2023	1619	2525	1010
18	T7-12	0911	3440	2727	2325	1619	1923	1010
18	T7-13	4549	2537	2727	2729	2528	2323	1010
18	T7-14	2935	4040	2733	1520	1616	2323	1010
18	T7-15	0911	2540	2727	2527	1619	2323	1013
18	T7-16	4749	1040	2727	2020	1619	2323	1010
18	T7-17	4749	1331	2727	1517	1619	2325	1010
18	T7-18	0911	2237	2727	1525	1919	2323	1016
18	T7-19	0911	3134	2727	1523	00	2323	1010
18	T7-20	1927	2225	2727	3537	1616	2325	1010
18	T7-21	0939	2240	2727	2329	1919	1923	1010
18	T7-22	4547	2225	2727	2525	1922	2325	1319
18	T7-23	2935	2537	2729	2025	1919	2327	1010
18	T7-24	1135	4040	2727	1925	1619	2323	1019
19	XJP2	1725	2534	3131	1717	1010	2525	1010
19	XJP3	1719	2531	3131	1720	0707	2325	1010
19	XJP4	1719	2531	3133	1717	0710	2327	1010
19	XJP5	1919	2528	3131	1719	1010	2329	1010
19	XJP6	1717	0125	3131	2329	0710	2325	1010
19	XJP7	1719	2525	3133	2929	0710	2331	1010
19	XJP8	1719	2231	3131	1720	1010	2525	1013
19	XJP9	1735	2828	3147	2325	1010	2527	1013
19	XJP10	1919	0728	3131	1720	0707	2325	1010
