yudata total ssrdata																																						
449	21		7	2	2																																	
Da																																						
Ning																																						
Ding																																						
Wan																																						
VH																																						
CP																																						
NP																																						
MH																																						
ML																																						
Tai																																						
CS																																						
TNP																																						
KT																																						
DAL																																						
HB																																						
Wu																																						
CH																																						
ST																																						
SNP																																						
CI																																						
JA																																						
SITE	CODE	SSR01(F38)		SSR02(F411)		SSR03(F398)		SSR04(F436)		SSR05(FH3)		SSR06(FH10)		SSR07(FH47)																								
9	MLC	19	19	25	31	33	33	15	19	19	22	0	0	10	16																							
10	T51	11	17	34	34	31	33	25	25	1	10	23	31	4	16																							
10	T52	13	27	28	31	39	41	27	27	19	19	21	23	13	13																							
10	T53	25	31	19	31	0	0	27	29	10	10	0	0	13	13																							
10	T54	9	35	28	34	31	33	19	29	10	10	0	0	10	19																							
10	T55	13	13	31	34	15	41	20	27	10	19	23	27	13	16																							
10	T56	13	31	25	34	23	29	25	25	10	19	23	25	16	19																							
10	T57	13	13	31	34	0	0	19	27	10	19	23	27	13	16																							
10	T58	31	31	31	31	31	31	20	27	7	10	0	0	10	13																							
10	T59	13	27	34	37	31	31	9	27	10	16	21	23	10	13																							
10	T510	13	17	31	37	27	29	9	17	10	10	0	0	10	16																							
10	T511	9	9	31	34	31	39	20	27	10	19	23	25	16	25																							
10	T512	9	9	31	37	31	33	20	27	10	16	0	0	10	13																							
10	T513	3	3	25	28	47	49	19	25	10	16	27	29	10	13																							
10	T514	9	31	31	37	23	29	20	25	19	19	23	23	16	16																							
10	T515	9	15	0	0	25	27	0	0	13	19	0	0	10	13																							
10	T516	9	31	31	37	23	29	20	25	19	19	23	23	16	16																							
10	T517	9	29	31	37	21	25	19	25	19	19	0	0	16	16																							
11	T21	23	37	31	37	29	41	17	17	10	19	21	23	7	10																							
11	T22	15	29	34	40	35	37	23	25	10	10	15	21	10	13																							
11	T23	9	31	37	43	0	0	25	25	10	19	21	23	7	10																							
11	T24	9	13	28	37	23	31	19	19	10	19	15	21	10	13																							
11	T25	23	29	34	34	15	39	23	25	10	10	21	23	13	19																							
11	T26	9	23	34	37	0	0	19	19	10	16	15	23	10	16																							
11	T27	9	9	28	37	0	0	29	29	10	16	15	21	10	13																							
11	T28	7	13	31	34	31	31	19	20	10	16	15	21	10	13																							
11	T29	13	31	28	31	37	39	20	20	10	10	25	31	10	13																							
11	T210	13	35	31	37	39	39	20	27	10	10	21	23	7	16																							
11	T211	9	9	31	37	15	25	27	29	10	19	15	21	10	13																							
11	T213	3	27	34	37	41	41	19	25	10	10	21	31	10	13																							
11	T214	7	7	31	34	21	27	17	19	10	19	15	21	7	10																							
11	T215	31	35	28	31	0	0	19	20	10	10	15	21	10	13																							
11	T216	37	49	28	31	37	37	20	25	10	10	21	23	7	19																							
11	T217	11	19	31	34	0	0	19	19	10	19	15	21	13	19																							
11	T218	9	9	31	40	0	0	19	23	10	10	15	21	10	13																							
11	T219	9	37	28	37	31	33	29	29	10	10	23	25	10	13																							
11	T220	25	27	34	37	27	29	25	31	10	10	21	23	10	13																							
11	T221	11	17	28	34	0	0	0	0	7	10	19	23	13	19																							
11	T222	13	25	34	37	27	29	23	23	10	19	21	25	10	13																							
11	T223	11	17	31	31	0	0	17	17	10	10	21	23	13	19																							
11	T224	9	29	31	31	37	37	20	23	10	10	21	23	13	19																							
12	T12	25	43	31	34	15	29	25	25	0	0	0	0	7	13																							
12	T13	31	37	25	31	29	29	23	25	0	0	0	0	13	13																							
12	T14	25	35	31	31	25	29	23	25	0	0	0	0	4	10																							
12	T15	19	27	31	31	25	39	23	25	0	0	0	0	19	19																							
12	T16	27	35	28	37	39	39	23	25	16	19	15	23	10	13																							
12	T17	29	37	25	31	29	29	19	23	10	19	15	23	7	13																							
12	T18	19	29	31	34	23	39	19	23	10	22	15	23	10	13																							
12	T19	35	35	28	37	31	31	19	25	10	16	15	23	10	13																							
12	T110	25	37	37	37	29	29	23	25	10	19	15	21	13	19																							
12	T111	19	27	31	31	25	39	20	20	16	19	25	35	7	19																							
12	T112	19	19	31	31	35	35	20	25	16	19	15	23	10	13																							
12	T113	29	41	34	34	35	35	20	20	10	16	25	31	13	19																							
12	T114	37	45	31	34	29	41	20	25	10	16	23	27	10	13																							
12	T115	23	31	34	37	31	31	19	25	10	19	15	25	10	10																							
12	T116	23	23	31	34	0	0	19	23	16	19	15	21	10	13																							
12	T117	19	37	28	37	27	39	23	23	16	19	23	31	13	19																							
12	T118	19	35	31	37	29	39	25	25	10	19	15	23	10	13																							
12	T119	19	41	25	31	23	23	25	25	10	10	15	23	7	13																							
12	T120	9	19	31	31	29	31	29	29	10	10	15	23	10	13																							
12	T121	29	35	31	31	39	39	19	25	10	16	15	23	7	13																							
12	T122	27	31	31	31	31	35	19	23	10	19	15	23	13	19																							
12	T1h1	19	35	31	37	23	23	25	25	10	10	15	23	13	19																							
12	T1h2	25	33	31	37	29	29	19	23	10	16	23	31	7	10																							
12	T1h3	19	29	31	37	15	29	23	25	10	19	15	23	10	13																							
12	T1h4	19	33	31	31	25	31	23	29	13	13	0	0	7	13																							
12	T1h5	19	31	31	37	29	29	19	25	13	25	21	21	7	13																							
13	YK661	9	9	25	34	23	33	19	19	7	19	25	25	13	13																							
13	YK662	9	21	22	25	23	33	19	25	16	19	23	25	13	19																							
13	YK663	9	19	25	34	23	27	25	25	10	19	23	25	13	13																							
13	YK664	9	9	25	34	25	35	15	23	0	0	23	25	10	13																							
13	YK671	7	7	25	31	27	29	0	0	10	13	19	29	10	13																							
13	YK672	9	9	28	34	25	33	19	25	10	19	25	25	10	13																							
13	YK681	9	9	28	34	25	33	19	25	10	19	25	25	10	13																							
13	YK682	9	19	31	34	31	33	0	0	1	10	19	21	10	13																							
13	YK684	9	19	0	0	0	0	0	0	16	19	0	0	0	0																							
13	YK470	9	11	28	34	27	35	19	23	19	19	23	27	7	13																							
13	YK471	9	9	28	31	23	33	19	23	7	10	23	27	16	16																							
13	YK472	9	19	16	25	13	33	19	25	19	19	23	23	10	10																							
13	YK473	5	5	25	31	0	0	0	0	16	19	29	31	10	16																							
13	YK474	15	25	0	0	0	0	0	0	10	16	23	27	10	16																							
13	YK475	17	25	0	0	0	0	0	0	7	10	19	29	10	13																							
14	YL1	9	9	25	31	25	49	20	33	10	16	21	25	13	16																							
14	YL3	7	43	25	46	33	33	27	33	10	10	25	25	13	13																							
14	YL4	7	9	19	34	23	29	25	35	7	19	23	23	13	13																							
14	YL5	7	7	16	25	23	27	23	23	19	19	23	25	13	13																							
14	YL6	7	9	22	28	23	33	23	35	10	19	25	25	13	13																							
14	YL7	9	9	25	31	25	49	20	20	19	19	21	25	13	16																							
14	YL8	9	9	28	31	25	33	20	23	19	19	25	25	13	16																							
14	YL9	9	41	19	40	23	29	29	31	10	22	23	23	13	13																							
14	YL10	9	31	25	34	29	33	19	19	19	19	25	25	13	16																							
14	YL11	9	9	28	40	25	25	19	25	19	19	25	27	13	13																							
14	YL12	7	41	25	37	23	25	20	29	10	19	23	31	10	16																							
14	YL13	7	9	19	40	25	27	17	19	10	19	23	25	10	16																							
14	YL14	7	9	25	34	25	33	25	33	10	10	23	35	13	16																							
14	YL15	9	9	34	46	23	33	20	35	16	19	23	23	13	13																							
14	YL16	9	9	28	34	25	37	23	25	10	19	25	25	13	13																							
14	YL17	9	9	34	37	25	35	7	17	19	22	25	27	10	16																							
14	YL18	7	9	31	40	25	27	17	19	10	19	23	25	10	16																							
14	YL19	9	9	34	37	25	35	7	17	19	22	25	27	10	16																							
14	YL20	7	7	31	40	37	37	19	29	10	19	23	25	13	13																							
14	YL21	9	9	25	31	25	49	20	33	19	19	21	25	13	16																							
14	YL22	9	9	25	31	25	49	20	33	19	19	21	25	13	16																							
14	YL23	9	9	25	31	25	49	20	33	19	19	21	25	13	16																							
14	YL24	7	7	25	28	25	49	23	23	10	19	25	27	13	13																							
15	YH1	9	9	28	34	25	31	0	0	10	10	21	25	13	13																							
15	YH2	9	9	34	40	25	27	19	19	13	16	25	27	13	13																							
15	YH3	9	9	28	34	23	33	23	25	10	16	21	23	13	13																							
15	YH4	9	9	28	34	27	31	0	0	10	10	25	25	13	13																							
15	YH5	9	15	34	34	27	35	23	23	16	16	25	25	13	13																							
15	YH6	9	9	28	34	35	37	25	25	10	19	25	27	13	13																							
15	YH7	0	0	28	37	23	25	20	31	10	16	25	25	13	13																							
15	YH8	0	0	28	40	25	31	20	29	10	19	25	25	10	13																							
15	YH9	0	0	31	34	0	0	0	0	10	13	19	23	4	7																							
15	YH10	0	0	25	34	25	35	23	33	10	10	23	25	13	13																							
15	YH11	0	0	31	34	25	31	25	25	10	19	23	25	7	13																							
15	YH12	0	0	31	34	25	31	25	35	10	19	23	25	13	13																							
15	YH13	0	0	34	34	25	25	20	31	10	19	25	27	13	13																							
15	YH14	0	0	28	34	25	37	33	35	10	10	25	25	13	13																							
15	YH15	0	0	25	34	25	29	20	25	10	19	25	25	10	13																							
15	YH16	0	0	25	34	25	27	23	23	10	16	25	27	13	13																							
15	YH17	0	0	34	40	23	33	23	25	10	10	21	23	13	16																							
15	YH18	0	0	34	37	29	31	20	31	16	25	25	27	13	13																							
15	YH19	0	0	31	40	1	1	20	31	10	10	23	25	13	13																							
15	YH20	0	0	31	40	0	0	23	31	10	19	25	25	10	16																							
15	YH21	0	0	28	31	0	0	19	20	10	10	25	25	10	13																							
15	YH22	0	0	28	34	0	0	19	20	10	10	25	25	13	16																							
15	YH23	0	0	31	40	33	33	23	25	10	10	25	25	13	13																							
15	YH24	9	17	25	34	35	37	19	23	10	19	21	25	13	13																							
16	T13-1	9	13	34	34	0	0	20	29	10	19	23	25	13	16																							
16	T13-2	7	9	31	37	0	0	19	29	10	19	23	27	7	10																							
16	T13-3	9	19	34	40	0	0	19	23	13	19	25	27	13	16																							
16	T13-4	11	15	40	40	33	35	19	20	7	10	23	25	13	13																							
16	T13-5	7	9	40	40	0	0	20	23	19	19	25	27	10	13																							
16	T13-6	7	9	34	34	25	27	20	29	10	19	23	25	13	16																							
16	T13-7	13	15	34	34	33	35	20	27	16	19	23	27	10	13																							
16	T13-8	11	15	34	34	25	33	20	27	10	19	23	25	10	13																							
16	T13-9	7	9	34	34	23	25	20	29	19	19	23	23	10	16																							
16	T13-10	7	9	16	25	33	35	19	23	10	19	25	25	10	13																							
16	T13-11	7	9	34	34	35	39	20	27	7	19	23	25	10	13																							
16	T13-12	9	9	25	40	25	35	23	20	16	19	23	25	10	16																							
16	T13-13	9	13	34	34	25	29	19	27	10	16	23	25	13	13																							
16	T13-14	7	9	34	34	23	27	33	27	16	19	23	23	7	16																							
16	T13-15	9	11	25	31	25	35	20	20	4	10	23	23	16	19																							
16	T13-16	9	13	34	34	33	35	19	27	16	19	23	25	13	13																							
16	T13-17	11	13	25	31	29	33	20	20	4	10	23	23	13	13																							
16	T13-18	9	9	31	31	25	37	23	25	10	19	23	27	13	13																							
16	T13-19	3	11	34	34	23	27	27	31	16	19	23	31	13	16																							
16	T13-20	9	11	34	34	23	23	15	15	10	16	23	25	13	16																							
16	T13-21	3	9	31	34	35	41	17	31	16	19	23	25	13	16																							
16	T13-22	9	13	34	40	33	35	23	27	10	19	23	25	13	16																							
16	T13-23	9	25	34	34	25	29	25	31	16	19	23	25	10	13																							
16	T13-24	9	19	25	34	37	37	20	23	4	19	23	25	13	13																							
17	T10-1	9	27	22	40	31	35	17	29	16	19	25	25	10	13																							
17	T10-2	7	9	40	40	33	35	17	27	16	19	25	25	13	13																							
17	T10-3	9	25	19	37	0	0	0	0	10	19	19	21	7	13																							
17	T10-4	7	9	34	34	0	0	0	0	19	19	19	23	10	13																							
17	T10-5	9	11	25	34	33	35	25	25	19	19	23	31	13	13																							
17	T10-6	11	13	28	37	27	33	19	29	19	19	25	25	10	10																							
17	T10-7	7	9	19	31	0	0	19	19	19	19	25	25	10	13																							
17	T10-8	7	9	34	34	31	33	20	20	19	19	25	25	10	13																							
17	T10-9	7	9	25	25	35	35	23	29	16	19	25	25	10	13																							
17	T10-10	7	9	34	34	0	0	19	20	16	19	25	27	10	13																							
17	T10-11	9	13	34	34	0	0	17	17	19	19	25	25	13	16																							
17	T10-12	7	9	28	28	0	0	17	17	19	19	25	25	13	13																							
17	T10-13	7	9	34	34	0	0	17	27	16	19	13	25	13	13																							
17	T10-14	9	11	34	34	0	0	17	23	16	19	13	25	13	13																							
17	T10-15	9	11	28	34	0	0	27	27	7	10	25	25	10	13																							
17	T10-16	9	13	0	0	0	0	20	20	10	19	13	21	10	16																							
17	T10-17	7	9	22	22	0	0	17	27	10	19	19	25	13	16																							
17	T10-18	11	15	37	40	0	0	0	0	19	25	21	27	10	13																							
17	T10-19	9	9	22	28	0	0	19	0	19	19	19	25	10	16																							
17	T10-20	7	9	34	40	0	0	17	27	10	19	25	27	10	16																							
17	T10-21	7	9	46	46	0	0	27	25	19	19	25	25	13	16																							
17	T10-22	9	11	34	34	0	0	27	27	19	19	25	25	13	13																							
17	T10-23	7	9	25	31	0	0	17	35	19	19	23	25	13	13																							
