Moth ID	taxon	Population	state	date prep 	initials	date image	order	initials	ovip_mm
6.198	Tegeticula antithetica	Sawmill	NV	20/10/2008	CD	21/10/2008	55	WG	2.732256301
6.235	Tegeticula antithetica	Sawmill	NV	22/10/2008	CD	23/10/2008	69	CD	2.692494394
07.1461A	Tegeticula antithetica	Searchlight	NV	23/10/2008	CD	23/10/2008	84	WG	2.634804754
7.1681	Tegeticula antithetica	Searchlight	NV	23/10/2008	CD	23/10/2008	80	WG	2.869042281
7.1552	Tegeticula antithetica	SheepRange	NV	14/10/2008	CD	14/10/2008	16	CD	3.125004199
7.1554	Tegeticula antithetica	SheepRange	NV	14/10/2008	CD	14/10/2008	17	CD	3.083757605
07.1445A	Tegeticula antithetica	SheepRange	NV	14/10/2008	CD	14/10/2008	18	CD	2.974964058
07.1455A	Tegeticula antithetica	SheepRange	NV	14/10/2008	CD	14/10/2008	19	CD	3.021947737
07.1459A	Tegeticula antithetica	SheepRange	NV	14/10/2008	CD	14/10/2008	20	CD	2.714242156
0.383	Tegeticula antithetica	Shivwitts	UT	15/10/2008	CD	15/10/2008	31	CD	2.861782602
00.371B	Tegeticula antithetica	Shivwitts	UT	15/10/2008	CD	15/10/2008	28	CD	2.885902489
00.372A	Tegeticula antithetica	Shivwitts	UT	15/10/2008	CD	15/10/2008	29	CD	2.906072013
00.374A	Tegeticula antithetica	Shivwitts	UT	15/10/2008	CD	15/10/2008	30	CD	2.738676608
00.394A	Tegeticula antithetica	AlamoCross	AZ	01/10/2008	CD	15/10/2008	21	CD	2.721817821
00.394B	Tegeticula antithetica	AlamoCross	AZ	01/10/2008	CD	15/10/2008	22	CD	2.959370384
00.394C	Tegeticula antithetica	AlamoCross	AZ	01/10/2008	CD	15/10/2008	23	CD	2.314601404
00.394D	Tegeticula antithetica	AlamoCross	AZ	02/10/2008	CD	15/10/2008	24	CD	3.063581492
00.394E	Tegeticula antithetica	AlamoCross	AZ	02/10/2008	CD	15/10/2008	25	CD	3.116995676
